City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
368,Bodden Town,KY,84.2,few clouds,19.2833,-81.25,Will T Place
372,Nhulunbuy,AU,86.61,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
374,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
376,Kaseda,JP,81.63,scattered clouds,31.4167,130.3167,Sun Stay Kaseda
377,Tuy Hoa,VN,80.15,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
381,Pa Sang,TH,80.8,light rain,18.5262,98.9394,โรงแรม จามจุรี 99
382,Pedernales,DO,81.54,scattered clouds,18.0384,-71.744,Hotel Costa Marina
384,Bonito,BR,77.09,clear sky,-21.1211,-56.4819,Marruá Hotel
388,Ariquemes,BR,78.57,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
390,Avenal,US,82.83,few clouds,36.0041,-120.129,Lodge House Inn The
392,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
394,Alice Springs,AU,83.75,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
396,Bambanglipuro,ID,85.62,scattered clouds,-7.95,110.2833,Puri Brata
398,Boyolangu,ID,84.78,broken clouds,-8.1181,111.8935,Yos ega cv
399,Cururupu,BR,76.59,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
400,Trinidad,BO,81.73,clear sky,-14.8333,-64.9,Hotel Piesta
401,Ambon,ID,84.34,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
402,Awbari,LY,77.27,clear sky,26.5921,12.7805,فندق أوباري
407,Mae Hong Son,TH,78.94,scattered clouds,19.3003,97.9685,Baiyoke Chalet Hotel
409,Phetchaburi,TH,78.91,heavy intensity rain,12.9667,99.5833,ไร่แม่คะเมยฮิลล์ แก่งกระจาน เพชรบุรี
410,Vung Tau,VN,81.72,overcast clouds,10.346,107.0843,Green hotel
414,Ewa Beach,US,87.75,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
415,Sao Filipe,CV,78.13,overcast clouds,14.8961,-24.4956,Hotel Xaguate
417,Araceli,PH,83.97,moderate rain,10.5529,119.9913,JBryan Traveler's Inn
418,Daru,PG,79.79,broken clouds,-9.0763,143.2092,Daru Lodge
419,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
424,Sal Rei,CV,79.36,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
425,Natal,BR,77.65,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
429,Shenjiamen,CN,77.63,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
433,Puerto Princesa,PH,88.05,overcast clouds,9.7392,118.7353,Deep Forest Garden Inn
436,Lorengau,PG,85.33,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
437,Marawi,PH,76.64,light rain,7.9986,124.2928,Derogongan Residence
438,Hobyo,SO,77.04,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
442,Mahibadhoo,MV,82.2,overcast clouds,3.7833,72.9667,Omadhoo Inn
445,Kudahuvadhoo,MV,82.63,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
446,Nabire,ID,86.65,scattered clouds,-3.3667,135.4833,Hotel Nusantara Nabire
447,Ormara,PK,82.78,few clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
450,Lopez,PH,88.0,scattered clouds,13.8844,122.2642,Kainang Pinoy (KP) Hotel and Restaurant
457,Byron Bay,AU,83.71,few clouds,-28.65,153.6167,Backpackers Inn on the Beach
465,Bairiki,KI,87.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
468,Yaritagua,VE,88.86,broken clouds,10.08,-69.1261,Apartamento de Julian Cotillo
474,Zuwarah,LY,77.79,few clouds,32.9312,12.082,يوسف
485,Emerald,AU,83.34,clear sky,-23.5333,148.1667,The Irish Village
488,Kirakira,SB,84.22,broken clouds,-10.4544,161.9205,SanBiz Lodge
489,Sur,OM,84.76,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
494,Portland,US,81.18,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
495,Diamantino,BR,88.27,overcast clouds,-14.4086,-56.4461,Hotel Delta
501,Touros,BR,77.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
502,Shingu,JP,81.59,few clouds,33.7333,135.9833,Shingu UI Hotel
503,Maningrida,AU,88.12,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
507,Nakamura,JP,79.5,few clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
511,Hervey Bay,AU,84.31,clear sky,-25.2986,152.8535,Shelly Bay Resort
514,Port Moresby,PG,87.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
524,Bilma,NE,84.07,clear sky,18.6853,12.9164,Expeditions Ténére voyages
526,Wanning,CN,83.73,light rain,18.8003,110.3967,Paradise Hotel
529,Bubaque,GW,80.71,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
532,Majene,ID,77.0,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
533,Elat,IL,76.84,clear sky,29.5581,34.9482,Club Hotel Eilat
539,Bhadrachalam,IN,82.2,overcast clouds,17.6667,80.8833,Hotel Srinidhi Residency
544,Naze,JP,85.12,scattered clouds,28.3667,129.4833,オーベルジュ・アガルイ
548,Ubon Ratchathani,TH,81.01,overcast clouds,15.1667,105.1667,ที่ทำการผู้ ใหญ่บ้าน หมู่ที่ 1
553,Gorontalo,ID,86.77,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
554,Sinnamary,GF,79.63,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
560,Bilasipara,IN,84.47,clear sky,26.232,90.2347,Inspection Bunglow
566,Buraydah,SA,79.25,scattered clouds,26.326,43.975,فندق راحة السلام
567,Celestun,MX,79.57,overcast clouds,20.8667,-90.4,Posada Lilia
571,Watsonville,US,75.78,overcast clouds,36.9102,-121.7569,"Holiday Inn Express & Suites Watsonville, an IHG Hotel"
574,Itarema,BR,78.51,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
576,Lahat,ID,88.92,broken clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
588,Catalao,BR,79.43,scattered clouds,-18.1658,-47.9464,Mara Turismo Hotel
590,Sabha,LY,76.86,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
594,Mawlaik,MM,88.43,clear sky,23.6333,94.4167,AKZ Guest House
595,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
599,Sakaiminato,JP,78.73,broken clouds,35.55,133.2333,味処・民宿 まつや
601,Owase,JP,76.95,broken clouds,34.0667,136.2,Business Hotel Phoenix
606,Itupiranga,BR,77.58,scattered clouds,-5.1347,-49.3267,Hotel Panorama
607,Sao Felix Do Xingu,BR,77.23,broken clouds,-6.6447,-51.995,Rio Xingu Camping
617,Dunyapur,PK,80.62,clear sky,29.7995,71.7196,فدا لاج
622,Tecolutilla,MX,77.95,overcast clouds,18.2833,-93.3167,La Campesina
626,Yuyao,CN,82.17,clear sky,30.05,121.1494,Grand Pacific Hotel Ningbo
627,Pitimbu,BR,75.79,few clouds,-7.4706,-34.8086,Reserva do Abiaí
628,Toowoomba,AU,79.54,overcast clouds,-27.55,151.9667,Toowoomba Central Plaza Apartment Hotel
633,Miri,MY,87.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
642,Kloulklubed,PW,81.1,light rain,7.0419,134.2556,Storyboard Beach Resort
643,Misratah,LY,75.81,clear sky,32.3754,15.0925,فندق الماسة
649,Neuquen,AR,76.89,clear sky,-38.9516,-68.0591,Hotel del Comahue
650,Loandjili,CG,77.11,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
656,Kieta,PG,82.04,light rain,-6.2167,155.6333,Uruna Bay Retreat
658,Trairi,BR,78.48,scattered clouds,-3.2778,-39.2689,janelas do mar
661,Ixtapa,MX,82.22,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
